,Description,UseType
42,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
43,REPLACE SIGN FACE ON EXISTING ID SIGN SIZE (3.41 X 14.125 WITH 8.41 TOTAL HEIGHT). 96.32 SF TOTAL. BOARD OF ADJ APPROVAL ON FILE. TO MEET ALL APPLICABLE CODES.,Commercial
44,GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF. TO MEET ALL APPLICABLE CODES.,Residential
45,ALTERATIONS TO 320 SF OF COMMERICAL BUILDING TO BE USED FOR LAB. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW MUST BE KEPT ON JOB SITE. TO MEET ALL APPLICABLE CODES.,Commercial
46,REPLAEMENT OF WINDOWS TO AN EXSITING DWELLING.  BEDROOMS WINDOWS PER CODE.  TO MEET ALL APPLICABLE CODES.,Residential
47,ALTERATIONS TO 320 SF OF COMMERICAL BUILDING TO BE USED FOR LAB. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW MUST BE KEPT ON JOB SITE. TO MEET ALL APPLICABLE CODES.,Commercial
48,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INSTALL NEW COVERING FOR EXISTING PATIO. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
49,"ERECTA 6'X16' PYLON ID SIGN WITH TWO FACES ALSO 24'11""X2' RACEWAY LETTERS ON FACE OF COMMERCIAL BUILDING. PYLON 21' TOTAL HEIGHT. POLE SIZE 12X12X3/8. FOOTING SIZE 3'X12'3"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
50,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
51,"POUR FOUNDATION TO ERECT A 387'4"" X 627'4"" ADDITION TO SIDE OF EXISTING COMMERCIAL BUILDING TO BE USED FOR ENGINE SHOP. ADDITIONAL PLANS AND PERMIT REQUIRED FOR STRUCTURAL. TO MEET ALL APPLICABLE CODES.  **FOUNDATION ONLY**",Commercial
52,ALTERATIONS TO 320 SF OF COMMERICAL BUILDING TO BE USED FOR LAB. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. STAMPED COPY OF PLANS AND REVIEW MUST BE KEPT ON JOB SITE. TO MEET ALL APPLICABLE CODES.,Commercial
53,BUS LIC/ CERT OF OCC FOR BIG JOHN'S DINER/ RESTAURANT/ 334-590-8833/ WAS USED AS RESTAURANT BEFORE   ***UNIT B***,Commercial
54,ALTERATIONS TO EXISTING SINGLE FAMILY DWELLING. INSTALL NEW COVERING FOR EXISTING PATIO. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Residential
55,GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF. TO MEET ALL APPLICABLE CODES.,Residential
56,"ERECT A 119.5""X 60.25"" MONUMENT SIGN WITH TWO FACES. 5' TOTAL HEIGHT. FOOTING 10'X2'1/2"". FOOTING INSPECTION WILL BE REQUIRED.  INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 706""X88"". 431.45 SF TOTAL. 38'10"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TWO DIRECTIONAL SIGNS 46""X119"". TOTAL HEIGHT 9'11"". A46406341 OR A46406342. TO MEET ALL APPLICABLE CODES.",Commercial
57,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
58,BUS LIC/CERT OF OCC FOR MR. SANDMAN MATTRESS/RETAIL/DAVID P. JUSTICE  260-8834 OR 334-271-7030/ WAS MATTRESS BUS BEFORE,Commercial
59,BUS LIC/CERT OF OCC INSP FOR DIVINE IMAGE LLC/ HAIR SALON - TO PERFORM STYLING AND CUTS ON HAIR/ CHRISTIE LOVE  334-294-1975,Commercial
60,CUT CURB TO CREATE DRIVEWAY FOR EXISTING COMMERCIAL PROPERTY.  TURN OUT INSPECTION WILL BE REQUIRED.  TO MEET ALL APPLICABLE CODES.,Commercial
61,"REPLACEMENT OF A 10'-7 3/8"" EXISTING WALL SIGN, REPLACEMENT OF A 8'-7 1/4"" X 24'-9 5/8"" PYLON SIGN, REPLACEMENT OF A 4'- 5 10/8"" X 5'-11"" WALL SIGN, REPLACEMENT OF AN EXISTING 4' 2 1/2""X 1'-10 11/16"" WALL SIGN, REPLACEMENT OF AN EXISTING 15'-5/8""X 2'- 1/2"" WALL SIGN, REPLACEMENT OF AN 16' - 6 1/2"" X 2' 1/4"" WALL SIGN FOR AN EXISTING PROPERTY.  TO MEET ALL APPLICABLE CODES.",Commercial
62,GRADING PERMIT TO ERECT A NEW COMMERCIAL TO BE USED FOR OFFICE/WAREHOUSE. MUST COMPLY WITH CITY'S GUIDELINES. TO MEET ALL APPLICABLE CODES.,Commercial
63,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
64,"GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF, SHEETROCK WORK, AND FLOORING.  TO MEET ALL APPLICABLE CODES.",Residential
65,PLACE A 36' X 14' MODULAR BUILDING AND ERECT A 8FT HIGH CHAIN LINK FENCE TO AN EXISTING COMMERCIAL BUILDING. MODULAR BUILDING TO BE USED FOR COMMUNICATION BUILDING.  A SET OF STAMPED PLANS WITH REVIEW LETTER MUST BE KEPT ON THE JOB SITE AT ALL TIMES. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Commercial
66,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
67,DEMOLISH EXISTING WOOD FRAME DWELLING TO CLEAR LOT. HEALTH DEPT. APPROVAL ON FILE. WATER WORKS NO. 128532. BOND NO. 427708. ADEM APPROVAL ON FILE.  DEMOLITION MUST COMPLETED WITHIN 30 DAYS. MUST COMPLY WITH EROSION CONTROL. TO MEET ALL APPLICABLE CODES.,Residential
68,"INSTALL 36""X87"" WALL SIGN TO THE FACE OF AN EXISTING COMMERICAL BUILDING.  SIGN IS ILLUMINATED.  UL NUMBERS A46406337.  TO MEET ALL APPLICABLE CODES.",Commercial
69,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY TO BE USED FOR MEDICAL CLINIC. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
70,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
71,CERT OF OCC INSP FOR DIVINITY LASH AND SPA/ EYELASH EXTENSIONS (BEAUTY) - LILLIAN LUCKETT  334-354-0981  **UNIT 160***,Commercial
72,"INSTALL 36""X87"" WALL SIGN TO THE FACE OF AN EXISTING COMMERICAL BUILDING.  SIGN IS ILLUMINATED.  UL NUMBERS A46406337.  TO MEET ALL APPLICABLE CODES.",Commercial
73,CERTIFICATE OF OCCUPANCY TO BE USED FOR A BUSINESS LICENSE FOR THE PURPOSE OF A TAX PREP ESTABLISHMENT.  DOROTHY KING  239-8210,Commercial
74,"GENERAL REPAIRS TO EXISTING DWELLING TO INCLUDE DRYWALL REPLACEMENT, PAINT AND TILE.  TO MEET ALL APPLICABLE CODES. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS.",Residential
75,GRADING PERMIT TO ERECT A 42.4’ X 73.25’ ONE STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 1832 SF (LIVING AREA); 488 SF (GARAGE); 171 SF (OTHER). PROPERTY IS NOT IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. ALR108799. TO MEET ALL APPLICABLE CODES.,Residential
76,"ERECT A 16' X 12' ATTACHED PATIO COVER TO REAR OF EXISTING DWELLING TO BE SCREENED-IN. FRAMING, FINAL INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Residential
77,REPLAEMENT OF WINDOWS TO AN EXSITING DWELLING.  BEDROOMS WINDOWS PER CODE.  TO MEET ALL APPLICABLE CODES.,Residential
78,REPLACE SIGN FACE ON EXISTING ID SIGN SIZE (3.41 X 14.125 WITH 8.41 TOTAL HEIGHT). 96.32 SF TOTAL. BOARD OF ADJ APPROVAL ON FILE. TO MEET ALL APPLICABLE CODES.,Commercial
79,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
80,BUS LIC/ CERT OF OCC FOR MR. SANDMAN MATTRESS/ RETAIL MATTRESS/ MR. DAVID JUSTICE  334-271-7030/ WAS RETAIL MATTRESS BUS BEFORE,Commercial
81,GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING TO BE USED FOR CONV STORE. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
82,"GENERAL REPAIR TO AN EXISTING DWELLING TO INCLUDE DECKING ON ROOF, SHEETROCK WORK, AND FLOORING.  TO MEET ALL APPLICABLE CODES.",Residential
83,"ERECTA 6'X16' PYLON ID SIGN WITH TWO FACES ALSO 24'11""X2' RACEWAY LETTERS ON FACE OF COMMERCIAL BUILDING. PYLON 21' TOTAL HEIGHT. POLE SIZE 12X12X3/8. FOOTING SIZE 3'X12'3"". ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TO MEET ALL APPLICABLE CODES.",Commercial
84,BUS LIC/CERT OF OCC FOR EXTENDED STAY HOTEL/ JUDITH SIEGEL  702-623-6255/ WAS HOTEL BEFORE - CHANGE OF OWNERSHIP,Commercial
85,"INSTALL A 159""X43"" WALL SIGN TO THE FACE OF AN EXISTING BUILDING. SIGN TO BE ILLUMINATED.  UL NUMBERS A46406339. TO MEET ALL APPLICABLE CODES.",Commercial
86,ALTERATION TO AN EXISTING DWELLING TO INCLUDE ADDING AN INTERIOR 5'X7' BATHROOM. ALL INSPECTION REQUIRED BY ALL APPLICABLE DEPTS.  TO MEET ALL APPLICABLE CODES.,Residential
87,"INSTALL A 159""X43"" WALL SIGN TO THE FACE OF AN EXISTING BUILDING. SIGN TO BE ILLUMINATED.  UL NUMBERS A46406339. TO MEET ALL APPLICABLE CODES.",Commercial
88,"ERECT A 119.5""X 60.25"" MONUMENT SIGN WITH TWO FACES. 5' TOTAL HEIGHT. FOOTING 10'X2'1/2"". FOOTING INSPECTION WILL BE REQUIRED.  INSTALL WALL SIGN ON FACE OF COMMERCIAL BUILDING. SIGN SIZE 706""X88"". 431.45 SF TOTAL. 38'10"" TOTAL HEIGHT. ILLUMINATED. SIGN TO BE LISTED BY NATIONALLY RECOGNIZED TESTING LABS ""NRTL"". TWO DIRECTIONAL SIGNS 46""X119"". TOTAL HEIGHT 9'11"". A46406341 OR A46406342. TO MEET ALL APPLICABLE CODES.",Commercial
89,"GRADING PERMIT TO ERECT A 57' X 56 TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2937 SF TOTAL, 1452 SF 1ST FL, 965 SF 2ND FL, GARAGE 494 SF, OTHER 26 SF. PROPERTY IS IN A PRIORITY CONSTRUCTION SITE. NPDES PERMIT NO. AL19831. TO MEET ALL APPLICABLE CODES.",Residential
90,"ERECT A 57' X 56 TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2937 SF TOTAL, 1452 SF 1ST FL, 965 SF 2ND FL, GARAGE 494 SF, OTHER 26 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/2 1/2 BATHS)",Residential
91,"ERECT A 16' X 12' ATTACHED PATIO COVER TO REAR OF EXISTING DWELLING TO BE SCREENED-IN. FRAMING, FINAL INSPECTION WILL BE REQUIRED. TO MEET ALL APPLICABLE CODES.",Residential
92,ADDING TWO ADDITIONAL PETITION WALL. MAINTAIN EXITS DURING CONSTRUCTION; MAINTAIN SPRINKLER COVERAGE; PER TERRY SULLIVAN. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
93,GENERAL REPAIRS TO EXISTING COMMERCIAL BUILDING TO BE USED FOR CONV STORE. MAINTAIN EXITS DURING CONSTRUCTION. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
94,"POUR FOUNDATION TO ERECT A 387'4"" X 627'4"" ADDITION TO SIDE OF EXISTING COMMERCIAL BUILDING TO BE USED FOR ENGINE SHOP. ADDITIONAL PLANS AND PERMIT REQUIRED FOR STRUCTURAL. TO MEET ALL APPLICABLE CODES.  **FOUNDATION ONLY**",Commercial
95,"POUR FOUNDATION TO ERECT A 387'4"" X 627'4"" ADDITION TO SIDE OF EXISTING COMMERCIAL BUILDING TO BE USED FOR ENGINE SHOP. ADDITIONAL PLANS AND PERMIT REQUIRED FOR STRUCTURAL. TO MEET ALL APPLICABLE CODES.  **FOUNDATION ONLY**",Commercial
96,"FIRE DAMAGE REPAIR AND RENOVATIONS TO UNITS 422, 421, 321, 322 OF COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.",Commercial
97,REPLACE SIGN FACE ON EXISTING ID SIGN SIZE (3.41 X 14.125 WITH 8.41 TOTAL HEIGHT). 96.32 SF TOTAL. BOARD OF ADJ APPROVAL ON FILE. TO MEET ALL APPLICABLE CODES.,Commercial
98,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
99,"REPLACEMENT OF A 10'-7 3/8"" EXISTING WALL SIGN, REPLACEMENT OF A 8'-7 1/4"" X 24'-9 5/8"" PYLON SIGN, REPLACEMENT OF A 4'- 5 10/8"" X 5'-11"" WALL SIGN, REPLACEMENT OF AN EXISTING 4' 2 1/2""X 1'-10 11/16"" WALL SIGN, REPLACEMENT OF AN EXISTING 15'-5/8""X 2'- 1/2"" WALL SIGN, REPLACEMENT OF AN 16' - 6 1/2"" X 2' 1/4"" WALL SIGN FOR AN EXISTING PROPERTY.  TO MEET ALL APPLICABLE CODES.",Commercial
100,"ERECT A 57' X 56 TWO STORY BRICK VENEER SINGLE FAMILY RESIDENCE WITH 2937 SF TOTAL, 1452 SF 1ST FL, 965 SF 2ND FL, GARAGE 494 SF, OTHER 26 SF. PRE-FAB FIREPLACE PER CODES. BEDROOM WINDOWS, SMOKE DETECTORS, STAIRS PER CODES. SAN FAC REQ PER IBC. MUST COMPLY WITH ENERGY CODE. TO MEET ALL APPLICABLE CODES.  (4BR/2 1/2 BATHS)",Residential
101,CERTIFICATE OF OCCUPANCY FOR A BUSINESS LICENSE TO BE USED AS A TIRE & SERVICE CENTER.  BRIAN AREVALO  531-5383,Commercial
102,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY TO BE USED FOR MEDICAL CLINIC. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
103,ALTERATIONS TO EXISTING COMMERCIAL BUILDING. INTERIOR REMOLDING TO UPGRADE FACILITY TO BE USED FOR MEDICAL CLINIC. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. TO MEET ALL APPLICABLE CODES.,Commercial
104,"FIRE DAMAGE REPAIR AND RENOVATIONS TO UNITS 422, 421, 321, 322 OF COMMERCIAL BUILDING. ALL INSPECTIONS ARE REQUIRED BY ALL APPLICABLE DEPTS. MAINTAIN EXISTS DURING CONSTRUCTION TO MEET APPLICABLE CODES.",Commercial
105,REPLACEMENT OF EXISTING WINDOWS TO AN EXISTING DWELLING.  MUST COMPLY WITH ALL BEDROOM WINDOWS CODES.  TO MEET ALL APPLICABLE CODES.,Residential
